Conn_id, Client_ip, Server_ip,Ip_protocol ,Udp_client_port,server,Tran_id ,Start_time ,num_inbound_packets_in_range,num_oubound_packets_in_range,max_packet_size_inbound,min_packet_size_inbound ,max_diff_time_inbound_threshold, min_diff_time_inbound_threshold, RTT
0,192.168.0.0,62.0.0.0,17,41022,0,0,07:26:37,4,2,1250,1250,0.000005,0.000002,0.007408
0,192.168.0.0,62.0.0.0,17,41022,0,1,07:26:37,1,0,1250,1250,0,0,0.005326
0,192.168.0.0,62.0.0.0,17,41022,0,2,07:26:37,1,47,530,530,0,0,0.01553
1,192.168.0.0,62.0.0.0,17,50862,0,0,07:54:33,0,2,0,0,0,0,-1
1,192.168.0.0,62.0.0.0,17,50862,0,1,07:54:33,0,0,0,0,0,0,-1
1,192.168.0.0,62.0.0.0,17,50862,0,2,07:54:33,0,0,0,0,0,0,-1
1,192.168.0.0,62.0.0.0,17,50862,0,3,07:54:34,0,0,0,0,0,0,-1
1,192.168.0.0,62.0.0.0,17,50862,0,4,07:54:34,0,0,0,0,0,0,-1
1,192.168.0.0,62.0.0.0,17,50862,0,5,07:54:35,0,0,0,0,0,0,-1
1,192.168.0.0,62.0.0.0,17,50862,0,6,07:54:37,0,0,0,0,0,0,-1
1,192.168.0.0,62.0.0.0,17,50862,0,7,07:54:37,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,0,08:03:44,0,1,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,1,08:03:44,8,8,1250,530,0.146703,0.000002,0.000623
2,192.168.0.0,82.166.0.0,17,55703,0,2,08:03:52,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,3,08:03:52,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,4,08:03:52,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,5,08:03:52,2442,174,1250,518,0.011069,0.000001,0.003892
2,192.168.0.0,82.166.0.0,17,55703,0,6,08:04:00,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,7,08:04:00,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,8,08:04:00,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,9,08:04:00,3165,188,1250,1236,0.449389,0.000001,0.00434
2,192.168.0.0,82.166.0.0,17,55703,0,10,08:04:07,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,11,08:04:07,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,12,08:04:07,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,13,08:04:07,1716,105,1250,847,0.010988,0.000001,0.004157
2,192.168.0.0,82.166.0.0,17,55703,0,14,08:04:15,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,15,08:04:15,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,16,08:04:15,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,17,08:04:15,2448,191,1250,647,0.496036,0.000001,0.004085
2,192.168.0.0,82.166.0.0,17,55703,0,18,08:04:28,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,19,08:04:28,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,20,08:04:28,0,0,0,0,0,0,-1
2,192.168.0.0,82.166.0.0,17,55703,0,21,08:04:28,1725,100,1250,832,0.019295,0.000001,0.004407
3,192.168.0.0,212.143.0.0,17,55835,0,0,08:11:38,4,3,1250,1250,0.000007,0.000003,0.005606
3,192.168.0.0,212.143.0.0,17,55835,0,1,08:11:38,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,2,08:11:38,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,3,08:11:38,1,0,530,530,0,0,0.000157
3,192.168.0.0,212.143.0.0,17,55835,0,4,08:11:38,4197,308,1250,601,0.148886,0.000001,0.230824
3,192.168.0.0,212.143.0.0,17,55835,0,5,08:11:42,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,6,08:11:42,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,7,08:11:42,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,8,08:11:42,4120,250,1250,1243,0.01553,0.000001,0.003699
3,192.168.0.0,212.143.0.0,17,55835,0,9,08:11:51,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,10,08:11:51,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,11,08:11:51,0,0,0,0,0,0,-1
3,192.168.0.0,212.143.0.0,17,55835,0,12,08:11:51,3221,147,1250,1243,0.18664,0.000001,0.00322
4,192.168.0.0,62.0.0.0,17,52943,0,0,07:30:07,0,0,0,0,0,0,-1
4,192.168.0.0,62.0.0.0,17,52943,0,1,07:30:07,0,0,0,0,0,0,-1
4,192.168.0.0,62.0.0.0,17,52943,0,2,07:30:07,0,0,0,0,0,0,-1
4,192.168.0.0,62.0.0.0,17,52943,0,3,07:30:07,3527,311,1250,510,0.255965,0.000001,0.067783
5,192.168.0.0,82.166.0.0,17,41375,0,0,07:16:36,5,4,1250,530,0.012685,0.000003,0.006947
5,192.168.0.0,82.166.0.0,17,41375,0,1,07:16:36,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,2,07:16:36,139,54,1250,1246,0.016699,0.000001,0.004565
5,192.168.0.0,82.166.0.0,17,41375,0,3,07:16:36,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,4,07:16:36,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,5,07:16:36,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,6,07:16:36,2016,131,1250,1227,0.006805,0.000001,0.004258
5,192.168.0.0,82.166.0.0,17,41375,0,7,07:16:36,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,8,07:16:36,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,9,07:16:36,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,10,07:16:36,1918,107,1250,640,0.012892,0.000001,0.004485
5,192.168.0.0,82.166.0.0,17,41375,0,11,07:16:37,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,12,07:16:37,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,13,07:16:37,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,14,07:16:37,1592,109,1250,1246,0.159927,0.000001,0.004322
5,192.168.0.0,82.166.0.0,17,41375,0,15,07:16:37,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,16,07:16:37,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,17,07:16:37,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,18,07:16:37,1879,108,1250,1243,0.01598,0.000001,0.0044
5,192.168.0.0,82.166.0.0,17,41375,0,19,07:16:39,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,20,07:16:39,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,21,07:16:39,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,22,07:16:39,2095,139,1250,837,0.016469,0.000001,0.004868
5,192.168.0.0,82.166.0.0,17,41375,0,23,07:16:48,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,24,07:16:48,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,25,07:16:48,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,26,07:16:48,1754,101,1250,775,0.041326,0.000001,0.004577
5,192.168.0.0,82.166.0.0,17,41375,0,27,07:16:56,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,28,07:16:56,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,29,07:16:56,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,30,07:16:56,1754,97,1250,1246,0.011258,0.000001,0.005064
5,192.168.0.0,82.166.0.0,17,41375,0,31,07:17:04,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,32,07:17:04,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,33,07:17:04,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,34,07:17:04,1717,78,1250,1205,0.015081,0.000001,0.003129
5,192.168.0.0,82.166.0.0,17,41375,0,35,07:17:11,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,36,07:17:11,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,37,07:17:11,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,38,07:17:11,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,39,07:17:11,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,40,07:17:12,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,41,07:17:12,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,42,07:17:12,0,1,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,43,07:17:14,0,0,0,0,0,0,-1
5,192.168.0.0,82.166.0.0,17,41375,0,44,07:17:15,0,1,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,0,07:15:56,4,1,1250,1250,0.000003,0.000002,0.004879
6,192.168.0.0,82.166.0.0,17,56389,0,1,07:15:56,1,4,530,530,0,0,0.011148
6,192.168.0.0,82.166.0.0,17,56389,0,2,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,3,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,4,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,5,07:15:57,1764,145,1250,1245,0.020053,0.000001,0.00385
6,192.168.0.0,82.166.0.0,17,56389,0,6,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,7,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,8,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,9,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,10,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,11,07:15:57,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,12,07:15:58,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,13,07:15:58,0,1,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,14,07:15:59,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,15,07:16:00,0,0,0,0,0,0,-1
6,192.168.0.0,82.166.0.0,17,56389,0,16,07:16:03,0,1,0,0,0,0,-1
7,192.168.0.0,172.217.0.0,17,60223,0,0,08:18:37,5,0,1250,599,0.000118,0.000002,0.042223
7,192.168.0.0,172.217.0.0,17,60223,0,1,08:18:37,0,4,0,0,0,0,-1
7,192.168.0.0,172.217.0.0,17,60223,0,2,08:18:37,0,0,0,0,0,0,-1
7,192.168.0.0,172.217.0.0,17,60223,0,3,08:18:37,341,58,1250,531,0.084812,0.000001,0.038675
7,192.168.0.0,172.217.0.0,17,60223,0,4,08:18:37,0,0,0,0,0,0,-1
7,192.168.0.0,172.217.0.0,17,60223,0,5,08:18:37,3191,53,1250,961,0.112199,0.000001,0.039786
7,192.168.0.0,172.217.0.0,17,60223,0,6,08:18:48,0,0,0,0,0,0,-1
7,192.168.0.0,172.217.0.0,17,60223,0,7,08:18:48,0,0,0,0,0,0,-1
